id;da;setor;log;atual;rua;bairro;CEP;pgguia;ubs;ruagoogle;latitude;longitude;name;AREA_KM2;CODL;ruas;ruagooglecrua;color;source;precision;PrimeiroDeInicio;ÚltimoDeFim;Inicio;Fim;LADO
13;71;;AVENIDA;NAO;AGUA FRIA  (INICIO  A 138 LADO PAR);AGUA FRIA;02332-000;;UBS CHORA MENINO;Av. Água Fria, 138 - Santana, São Paulo - SP, 02333-000, Brasil;-23.4874236;-46.6238023;Avenida Agua Fria , 138 - Agua Fria , São Paulo - SP, 02332-000;4,28;3514;Av Agua Fria;Avenida Agua Fria , 138 - Agua Fria , São Paulo - SP, 02332-000;;Google;address;2;138; ;138;LADO PAR
14;71;;AVENIDA;NAO;AGUA FRIA  (DE 251 A 739 LADO ÍMPAR);AGUA FRIA;02333-000;;UBS CHORA MENINO;Av. Água Fria, 739 - Santana, São Paulo - SP, 02408-130, Brasil;-23.482198;-46.6222334;Avenida Agua Fria , 739 - Agua Fria , São Paulo - SP, 02333-000;4,28;3514;Av Agua Fria;Avenida Agua Fria , 739 - Agua Fria , São Paulo - SP, 02333-000;;Google;address;251;739;251;739;LADO ÍMPAR
15;71;;AVENIDA;NAO;AGUA FRIA  (INICIO A 137 LADO ÍMPAR);AGUA FRIA;02333-000;;UBS CHORA MENINO;Av. Água Fria, 137 - Santana, São Paulo - SP, 02333-000, Brasil;-23.4875645;-46.6241329;Avenida Agua Fria , 137 - Agua Fria , São Paulo - SP, 02333-000;4,28;3514;Av Agua Fria;Avenida Agua Fria , 137 - Agua Fria , São Paulo - SP, 02333-000;;Google;address;1;137;;137;LADO ÍMPAR
16;51;;AVENIDA;NAO;AGUA FRIA  (DE 741 A 753 LADO ÍMPAR);AGUA FRIA;02333-000;;UBS DR DOMINGOS MAZZONETO DE CILO - VL AURORA;Av. Água Fria, 753 - Santana, São Paulo - SP, 02408-130, Brasil;-23.4820851;-46.6222281;Avenida Agua Fria , 753 - Agua Fria , São Paulo - SP, 02333-000;1,62;3514;Av Agua Fria;Avenida Agua Fria , 753 - Agua Fria , São Paulo - SP, 02333-000;;Google;address;741;753;741;753;LADO ÍMPAR
17;51;;AVENIDA;NAO;AGUA FRIA  (DE 823 A 1435 LADO ÍMPAR);AGUA FRIA;02333-001;;UBS DR DOMINGOS MAZZONETO DE CILO - VL AURORA;Av. Água Fria, 1435 - Tucuruvi, São Paulo - SP, 02333-001, Brasil;-23.476403;-46.6200363;Avenida Agua Fria , 1435 - Agua Fria , São Paulo - SP, 02333-001;1,62;3514;Av Agua Fria;Avenida Agua Fria , 1435 - Agua Fria , São Paulo - SP, 02333-001;;Google;address;823;1435;823;1435;LADO ÍMPAR
18;51;;AVENIDA;NAO;AGUA FRIA  (DE 740 A 752 LADO PAR);AGUA FRIA;02332-000;;UBS DR DOMINGOS MAZZONETO DE CILO - VL AURORA;Av. Água Fria, 752 - Santana, São Paulo - SP, 02332-000, Brasil;-23.482199;-46.621966;Avenida Agua Fria , 752 - Agua Fria , São Paulo - SP, 02332-000;1,62;3514;Av Agua Fria;Avenida Agua Fria , 752 - Agua Fria , São Paulo - SP, 02332-000;;Google;address;740;752;740;752;LADO PAR
19;51;;AVENIDA;NAO;AGUA FRIA  (DE 754 A 821)  ;AGUA FRIA;02332-000;;UBS DR DOMINGOS MAZZONETO DE CILO - VL AURORA;Av. Água Fria, 821 - Santana, São Paulo - SP, 02333-001, Brasil;-23.4814251;-46.6220294;Avenida Agua Fria , 821 - Agua Fria , São Paulo - SP, 02332-000;1,62;3514;Av Agua Fria;Avenida Agua Fria , 821 - Agua Fria , São Paulo - SP, 02332-000;;Google;address;754;821;754;821;
20;51;;AVENIDA;NAO;AGUA FRIA  (DE 1514 A 1780 LADO PAR);AGUA FRIA;02332-001;;UBS DR DOMINGOS MAZZONETO DE CILO - VL AURORA;Av. Água Fria, 1780 - Santana, São Paulo - SP, 02332-001, Brasil;-23.4737316;-46.6183811;Avenida Agua Fria , 1780 - Agua Fria , São Paulo - SP, 02332-001;1,62;3514;Av Agua Fria;Avenida Agua Fria , 1780 - Agua Fria , São Paulo - SP, 02332-001;;Google;address;1514;1780;1514;1780;LADO PAR
21;51;;AVENIDA;NAO;AGUA FRIA  (DE 822 A 1436 LADO PAR);AGUA FRIA;02332-001;;UBS DR DOMINGOS MAZZONETO DE CILO - VL AURORA;Av. Água Fria, 1436 - Tucuruvi, São Paulo - SP, 02332-001, Brasil;-23.4765885;-46.6197312;Avenida Agua Fria , 1436 - Agua Fria , São Paulo - SP, 02332-001;1,62;3514;Av Agua Fria;Avenida Agua Fria , 1436 - Agua Fria , São Paulo - SP, 02332-001;;Google;address;822;1436;822;1436;LADO PAR
22;51;;AVENIDA;NAO;AGUA FRIA  (DE 1513 A 1781 LADO ÍMPAR);AGUA FRIA;02333-001;;UBS DR DOMINGOS MAZZONETO DE CILO - VL AURORA;Av. Água Fria, 1781 - Santana, São Paulo - SP, 02333-001, Brasil;-23.4734103;-46.6187948;Avenida Agua Fria , 1781 - Agua Fria , São Paulo - SP, 02333-001;1,62;3514;Av Agua Fria;Avenida Agua Fria , 1781 - Agua Fria , São Paulo - SP, 02333-001;;Google;address;1513;1781;1513;1781;LADO ÍMPAR
23;84;;AVENIDA;NAO;AGUA FRIA  (DE 955 A 1987 LADO ÍMPAR);AGUA FRIA;02333-001;;UBS CJ DO IPESP;Av. Água Fria, 1987 - Tucuruvi, São Paulo - SP, 02332-001, Brasil;-23.4725659;-46.6183757;Avenida Agua Fria , 1987 - Agua Fria , São Paulo - SP, 02333-001;3,58;3514;Av Agua Fria;Avenida Agua Fria , 1987 - Agua Fria , São Paulo - SP, 02333-001;;Google;address;955;1987;955;1987;LADO ÍMPAR
24;84;;AVENIDA;NAO;AGUA FRIA  (DE 956 A 1988 LADO PAR);AGUA FRIA;02332-001;;UBS CJ DO IPESP;Av. Água Fria, 1988 - Jardim Franca, São Paulo - SP, 02338, Brasil;-23.4720661;-46.6177745;Avenida Agua Fria , 1988 - Agua Fria , São Paulo - SP, 02332-001;3,58;3514;Av Agua Fria;Avenida Agua Fria , 1988 - Agua Fria , São Paulo - SP, 02332-001;;Google;address;956;1988;956;1988;LADO PAR
25;71;;AVENIDA;NAO;AGUAS DE SAO PEDRO (INICIO A 615)  ;VILA PAULICEIA;02302-070;;UBS JOAQUIM ANTONIO EIRADO;Av. Águas de São Pedro, 615 - Vila Pauliceia, São Paulo - SP, 02302-070, Brasil;-23.4874697;-46.6117276;Avenida Aguas De Sao Pedro , 615 - Vila Pauliceia , São Paulo - SP, 02302-070;8,83;156302;Av Aguas de Sao Pedro;Avenida Aguas De Sao Pedro , 615 - Vila Pauliceia , São Paulo - SP, 02302-070;;Google;address;;;;615;
26;51;;AVENIDA;NAO;ALFREDO ZUNKELLER  (DE 92 A 749)   ;PARQUE MANDAQUI;02421-070;;UBS DR DOMINGOS MAZZONETO DE CILO - VL AURORA;Rua Alfredo Zunkeller, 749 - Parque Mandaqui, São Paulo - SP, 02421-070, Brasil;-23.4746548;-46.6371393;Avenida Alfredo Zunkeller , 749 - Parque Mandaqui , São Paulo - SP, 02421-070;1,62;7315;Av Alfredo Zunkeller;Avenida Alfredo Zunkeller , 749 - Parque Mandaqui , São Paulo - SP, 02421-070;;Google;address;92;749;92;749;
27;51;;AVENIDA;NAO;ALFREDO ZUNKELLER  (INICIO A 91)   ;PARQUE MANDAQUI;02421-070;;UBS LAUZANE PAULISTA;Rua Alfredo Zunkeller, 91 - Parque Mandaqui, São Paulo - SP, 02421-070, Brasil;-23.4732967;-46.6312227;Avenida Alfredo Zunkeller , 91 - Parque Mandaqui , São Paulo - SP, 02421-070;3,45;7315;Av Alfredo Zunkeller;Avenida Alfredo Zunkeller , 91 - Parque Mandaqui , São Paulo - SP, 02421-070;;Google;address;1;91;;91;
28;51;;AVENIDA;NAO;ALVARO ALBERTO SILVA, ALM.  (INICIO A 413)  ;CONJUNTO RESIDENCIAL SANTA TEREZINHA;02419-040;;UBS LAUZANE PAULISTA;Av. Almirante Álvaro Alberto da Silva, 413 - Mandaqui, São Paulo - SP, 02419-040, Brasil;-23.4771955;-46.6420152;Avenida Alm. Alvaro Alberto Silva , 413 - Conjunto Residencial Santa Terezinha , São Paulo - SP, 02419-040;3,45;753815;Av Alm. Alvaro Alberto Silva;Avenida Alm. Alvaro Alberto Silva , 413 - Conjunto Residencial Santa Terezinha , São Paulo - SP, 02419-040;;Google;address;;;;413;
29;84;;AVENIDA;NAO;ALVARO MACHADO PEDROSA (INICIO A 676)  ;PARADA INGLESA;02245-000;;UBS WAMBERTO DIAS DA COSTA;Av. Álvaro Machado Pedrosa, 676 - Parada Inglesa, São Paulo - SP, 02245-000, Brasil;-23.482262;-46.6041345;Avenida Alvaro Machado Pedrosa , 676 - Parada Inglesa , São Paulo - SP, 02245-000;2,93;8966;Av Alvaro Machado Pedrosa;Avenida Alvaro Machado Pedrosa , 676 - Parada Inglesa , São Paulo - SP, 02245-000;;Google;address;;;;676;
31;71;;AVENIDA;NAO;ASSIS CHATEAUBRIAND  (INICIO A 4760)   ;PARQUE ANHEMBI;02009-030;;UBS JOAQUIM ANTONIO EIRADO;Av. Assis Chateaubriand, 4760 - Parque Anhembi, São Paulo - SP, 02009-030, Brasil;-23.5166669;-46.6495126;Avenida Assis Chateaubriand , 4760 - Parque Anhembi , São Paulo - SP, 02009-030;8,83;24210;Av Assis Chateaubriand;Avenida Assis Chateaubriand , 4760 - Parque Anhembi , São Paulo - SP, 02009-030;;Google;address;;;;4760;
32;51;;AVENIDA;NAO;BASILEIA (INICIO A 535)  ;LAUZANE PAULISTA;02440-060;;UBS LAUZANE PAULISTA;Av. Basiléia, 535 - Lauzane Paulista, São Paulo - SP, 02440-060, Brasil;-23.4790727;-46.6506876;Avenida Basileia , 535 - Lauzane Paulista , São Paulo - SP, 02440-060;3,45;29408;Av Basileia;Avenida Basileia , 535 - Lauzane Paulista , São Paulo - SP, 02440-060;;Google;address;;;;535;
33;71;;AVENIDA;NAO;BRAZ LEME  (DE 2537 A 2571 LADO ÍMPAR);SANTANA;02022-011;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 2571 - Santana, São Paulo - SP, 02022-020, Brasil;-23.5034263;-46.6355993;Avenida Braz Leme , 2571 - Santana , São Paulo - SP, 02022-011;8,83;36374;Av Braz Leme;Avenida Braz Leme , 2571 - Santana , São Paulo - SP, 02022-011;;Google;address;2537;2571;2537;2571;LADO ÍMPAR
34;71;;AVENIDA;NAO;BRAZ LEME  (DE 2233 A 2535 LADO ÍMPAR);CASA VERDE;02511-000;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 2535 - Santana, São Paulo - SP, 02022-020, Brasil;-23.5033137;-46.6359662;Avenida Braz Leme , 2535 - Casa Verde , São Paulo - SP, 02511-000;8,83;36374;Av Braz Leme;Avenida Braz Leme , 2535 - Casa Verde , São Paulo - SP, 02511-000;;Google;address;2233;2535;2233;2535;LADO ÍMPAR
35;71;;AVENIDA;NAO;BRAZ LEME  (DE 2059 A 2423 LADO ÍMPAR);SANTANA;02022-010;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 2423 - Santana, São Paulo - SP, 02022-020, Brasil;-23.5031804;-46.637127;Avenida Braz Leme , 2423 - Santana , São Paulo - SP, 02022-010;8,83;36374;Av Braz Leme;Avenida Braz Leme , 2423 - Santana , São Paulo - SP, 02022-010;;Google;address;2059;2423;2059;2423;LADO ÍMPAR
36;71;;AVENIDA;NAO;BRAZ LEME  (DE 1919 A 2087 LADO ÍMPAR);SANTANA;02022-010;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 2087 - Santana, São Paulo - SP, 02022-010, Brasil;-23.5038369;-46.6402521;Avenida Braz Leme , 2087 - Santana , São Paulo - SP, 02022-010;8,83;36374;Av Braz Leme;Avenida Braz Leme , 2087 - Santana , São Paulo - SP, 02022-010;;Google;address;1919;2087;1919;2087;LADO ÍMPAR
37;71;;AVENIDA;NAO;BRAZ LEME  (DE 2573 A 3611 LADO ÍMPAR);SANTANA;02022-011;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 3611 - Santana, São Paulo - SP, 02022-011, Brasil;-23.5038359;-46.6263897;Avenida Braz Leme , 3611 - Santana , São Paulo - SP, 02022-011;8,83;36374;Av Braz Leme;Avenida Braz Leme , 3611 - Santana , São Paulo - SP, 02022-011;;Google;address;2573;3611;2573;3611;LADO ÍMPAR
38;71;;AVENIDA;NAO;BRAZ LEME  (DE 1918 A 2088 LADO PAR);SANTANA;02022-020;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 2088 - Santana, São Paulo - SP, 02022-020, Brasil;-23.5043194;-46.6398733;Avenida Braz Leme , 2088 - Santana , São Paulo - SP, 02022-020;8,83;36374;Av Braz Leme;Avenida Braz Leme , 2088 - Santana , São Paulo - SP, 02022-020;;Google;address;1918;2088;1918;2088;LADO PAR
39;71;;AVENIDA;NAO;BRAZ LEME  (DE 2060 A 2422 LADO PAR);SANTANA;02022-020;;UBS JOAQUIM ANTONIO EIRADO;Av. Braz Leme, 2422 - Santana, São Paulo - SP, 02022-020, Brasil;-23.5037048;-46.637125;Avenida Braz Leme , 2422 - Santana , São Paulo - SP, 02022-020;8,83;36374;Av Braz Leme;Avenida Braz Leme , 2422 - Santana , São Paulo - SP, 02022-020;;Google;address;2060;2422;2060;2422;LADO PAR
